Block Height,Timestamp,Address,Algorithm,Difficulty
3414010,2025-07-29 14:59:11,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,17.67541923514148
3414011,2025-07-29 14:59:55,Unknown,Stake,91195016.22998442
3414012,2025-07-29 14:59:41,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.0278735226416282
3414013,2025-07-29 15:01:58,Unknown,Stake,98519733.56066753
3414014,2025-07-29 15:04:50,Unknown,Stake,91330422.70219547
3414015,2025-07-29 15:04:36,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,17.75172496981766
3414016,2025-07-29 15:05:26,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,17.7720151269584
3414017,2025-07-29 15:06:28,Unknown,Stake,91390976.4960654
3414018,2025-07-29 15:06:26,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,22.991491058691
3414019,2025-07-29 15:07:55,Unknown,Stake,98536219.50602831
3414020,2025-07-29 15:07:45,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,23.11003361066726
3414021,2025-07-29 15:11:14,Unknown,Stake,98967460.30898644
3414022,2025-07-29 15:12:45,Unknown,Stake,91603369.70947154
3414023,2025-07-29 15:13:23,Unknown,Stake,98498771.9592414
3414024,2025-07-29 15:13:09,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,18.09706877916497
3414025,2025-07-29 15:14:48,Unknown,Stake,98823988.51744364
3414026,2025-07-29 15:14:43,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,23.70219673562458
3414027,2025-07-29 15:16:28,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.0254723273393263
3414028,2025-07-29 15:20:23,Unknown,Stake,91816902.18389106
3414029,2025-07-29 15:20:29,Unknown,Stake,91846952.92291687
3414030,2025-07-29 15:20:15,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,18.2763917303406
3414031,2025-07-29 15:20:11,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,18.33014664589311
3414032,2025-07-29 15:21:41,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02769142620035266
3414033,2025-07-29 15:21:50,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02783183093399607
3414034,2025-07-29 15:22:41,Unknown,Stake,98607399.98394091
3414035,2025-07-29 15:22:40,Unknown,Stake,91964498.24901614
3414036,2025-07-29 15:24:54,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,13.05473008462212
3414037,2025-07-29 15:25:41,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02814377352024561
3414038,2025-07-29 15:30:58,Unknown,Stake,91986979.21641153
3414039,2025-07-29 15:31:06,Unknown,Stake,92018224.36457005
3414040,2025-07-29 15:31:59,Unknown,Stake,96922462.47379464
3414041,2025-07-29 15:31:50,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,18.37145535299734
3414042,2025-07-29 15:32:46,Unknown,Stake,97253933.75033991
3414043,2025-07-29 15:33:43,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,21.62291464747489
3414044,2025-07-29 15:36:16,Unknown,Stake,97908533.03247875
3414045,2025-07-29 15:37:27,Unknown,Stake,92265413.04082423
3414046,2025-07-29 15:38:12,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,18.50599347650317
3414047,2025-07-29 15:38:20,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,18.55449961789385
3414048,2025-07-29 15:39:20,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02546440927699496
3414049,2025-07-29 15:39:54,Unknown,Stake,92299087.32218195
3414050,2025-07-29 15:40:46,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,22.7122962393373
3414051,2025-07-29 15:40:00,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.7122962393373
3414052,2025-07-29 15:43:29,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.80014188117588
3414053,2025-07-29 15:44:11,Unknown,Stake,92334845.8612983
3414054,2025-07-29 15:44:05,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,22.80135038897074
3414055,2025-07-29 15:45:16,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.027408758757754
